iter	Passed	Remaining
412	4335	913
413	4347	903
414	4358	892
415	4369	882
416	4380	871
417	4390	861
418	4402	851
419	4412	840
420	4421	829
421	4432	819
422	4443	808
423	4454	798
424	4465	787
425	4475	777
426	4486	767
427	4497	756
428	4507	746
429	4518	735
430	4530	725
431	4541	714
432	4552	704
433	4562	693
434	4572	683
435	4582	672
436	4592	662
437	4603	651
438	4613	641
439	4623	630
440	4634	620
441	4646	609
442	4656	599
443	4669	588
444	4680	578
445	4690	567
446	4702	557
447	4714	547
448	4726	536
449	4736	526
450	4746	515
451	4757	505
452	4768	494
453	4779	484
454	4791	473
455	4803	463
456	4813	452
457	4824	442
458	4835	431
459	4846	421
460	4857	410
461	4868	400
462	4879	389
463	4891	379
464	4903	369
465	4914	358
466	4926	348
467	4938	337
468	4949	327
469	4961	316
470	4971	306
471	4983	295
472	4995	285
473	5007	274
474	5019	264
475	5032	253
476	5044	243
477	5055	232
478	5067	222
479	5080	211
480	5091	201
481	5101	190
482	5112	179
483	5123	169
484	5134	158
485	5144	148
486	5154	137
487	5165	127
488	5176	116
489	5185	105
490	5197	95
491	5208	84
492	5219	74
493	5229	63
494	5239	52
495	5251	42
496	5261	31
497	5272	21
498	5283	10
499	5292	0
