iter	Passed	Remaining
166	1394	2780
167	1403	2772
168	1411	2763
169	1419	2755
170	1427	2747
171	1436	2739
172	1444	2730
173	1452	2721
174	1461	2713
175	1469	2705
176	1478	2697
177	1486	2688
178	1493	2678
179	1502	2671
180	1511	2663
181	1519	2655
182	1527	2646
183	1535	2637
184	1543	2628
185	1552	2620
186	1559	2611
187	1568	2602
188	1575	2593
189	1584	2585
190	1593	2578
191	1601	2569
192	1609	2560
193	1619	2553
194	1627	2546
195	1636	2537
196	1645	2530
197	1653	2522
198	1662	2514
199	1670	2505
200	1677	2495
201	1686	2487
202	1694	2478
203	1702	2470
204	1710	2461
205	1719	2454
206	1728	2446
207	1736	2438
208	1744	2428
209	1752	2420
210	1759	2410
211	1768	2402
212	1776	2394
213	1785	2386
214	1793	2377
215	1801	2369
216	1810	2360
217	1819	2353
218	1827	2344
219	1835	2335
220	1843	2326
221	1851	2318
222	1859	2309
223	1867	2301
224	1875	2292
225	1884	2285
226	1893	2276
227	1901	2268
228	1909	2259
229	1917	2251
230	1926	2243
231	1934	2234
232	1943	2226
233	1951	2218
234	1960	2210
235	1968	2202
236	1977	2194
237	1985	2185
238	2004	2189
239	2015	2183
240	2026	2177
241	2037	2172
242	2047	2165
243	2055	2156
244	2064	2148
245	2074	2141
246	2082	2133
247	2092	2125
248	2101	2118
249	2110	2110
250	2119	2102
251	2127	2094
252	2136	2086
253	2145	2077
254	2154	2069
255	2162	2060
256	2171	2053
257	2179	2043
258	2187	2035
259	2196	2027
260	2204	2018
261	2212	2009
262	2221	2001
263	2229	1993
264	2238	1984
265	2246	1976
266	2254	1967
267	2263	1959
268	2271	1951
269	2280	1942
270	2289	1934
271	2298	1926
272	2305	1917
273	2313	1908
274	2322	1900
275	2330	1891
276	2338	1882
277	2347	1874
278	2356	1866
279	2364	1857
280	2372	1848
281	2380	1840
282	2388	1831
283	2397	1823
284	2405	1814
285	2413	1805
286	2422	1797
287	2430	1789
288	2439	1780
289	2447	1772
290	2455	1763
291	2465	1755
292	2473	1747
293	2482	1739
294	2490	1730
295	2497	1721
296	2505	1712
297	2513	1703
298	2522	1695
299	2531	1687
300	2539	1678
301	2547	1670
302	2555	1661
303	2563	1653
304	2572	1644
305	2580	1636
306	2589	1627
307	2597	1619
308	2605	1610
309	2614	1602
310	2623	1594
311	2632	1586
312	2641	1578
313	2650	1570
314	2659	1562
315	2668	1554
316	2677	1545
317	2686	1537
318	2695	1529
319	2704	1521
320	2713	1513
321	2722	1505
322	2731	1496
323	2739	1488
324	2749	1480
325	2758	1472
326	2767	1463
327	2776	1456
328	2786	1448
329	2794	1439
330	2802	1431
331	2811	1422
332	2819	1413
333	2828	1405
334	2836	1397
335	2845	1388
336	2852	1379
337	2861	1371
338	2869	1362
339	2877	1354
340	2885	1345
341	2894	1337
342	2902	1328
343	2911	1320
344	2920	1311
345	2928	1303
346	2937	1295
347	2945	1286
348	2953	1277
349	2961	1269
350	2969	1260
351	2978	1252
352	2985	1243
353	2995	1235
354	3003	1226
355	3011	1218
356	3019	1209
357	3027	1201
358	3036	1192
359	3044	1183
360	3052	1175
361	3061	1167
362	3069	1158
363	3078	1150
364	3087	1141
365	3094	1133
366	3103	1124
367	3111	1116
368	3120	1107
369	3128	1099
370	3136	1090
371	3145	1082
372	3154	1074
373	3162	1065
374	3170	1056
375	3178	1048
376	3187	1039
377	3194	1031
378	3202	1022
379	3211	1014
380	3220	1005
381	3227	997
382	3237	988
383	3245	980
384	3253	971
385	3262	963
386	3270	955
387	3281	947
388	3293	939
389	3305	932
390	3315	924
391	3325	916
392	3333	907
393	3343	899
394	3351	891
395	3361	882
396	3369	874
397	3378	865
398	3386	857
399	3394	848
400	3403	840
401	3411	831
402	3419	823
403	3426	814
404	3434	805
405	3443	797
406	3451	788
407	3459	780
408	3467	771
409	3477	763
410	3484	754
411	3493	746
412	3501	737
413	3510	729
414	3518	720
415	3526	712
416	3535	703
417	3543	695
418	3552	686
419	3561	678
420	3569	669
421	3577	661
422	3586	652
423	3593	644
424	3602	635
425	3610	627
426	3617	618
427	3625	609
428	3634	601
429	3642	592
430	3650	584
431	3658	575
432	3667	567
433	3676	559
434	3684	550
435	3693	542
436	3701	533
437	3710	525
438	3718	516
439	3726	508
440	3735	499
441	3744	491
442	3752	482
443	3759	474
444	3767	465
445	3776	457
446	3785	448
447	3793	440
448	3801	431
449	3810	423
450	3818	414
451	3827	406
452	3835	397
453	3843	389
454	3851	380
455	3860	372
456	3869	364
457	3878	355
458	3888	347
459	3897	338
460	3906	330
461	3914	321
462	3923	313
463	3931	305
464	3939	296
465	3948	288
466	3958	279
467	3967	271
468	3976	262
469	3985	254
470	3993	245
471	4002	237
472	4009	228
473	4018	220
474	4026	211
475	4034	203
476	4042	194
477	4050	186
478	4058	177
479	4067	169
480	4075	160
481	4082	152
482	4089	143
483	4097	135
484	4106	126
485	4114	118
486	4122	110
487	4129	101
488	4138	93
489	4146	84
490	4154	76
491	4162	67
492	4169	59
493	4177	50
494	4185	42
495	4194	33
496	4201	25
497	4210	16
498	4219	8
499	4228	0
