iter	Logloss
0	0.534190489
1	0.4227813715
2	0.3513551426
3	0.3052080232
4	0.2701895428
5	0.2461424138
6	0.2302792989
7	0.2171648943
8	0.2078912717
9	0.2001322263
10	0.1943943672
11	0.1893354442
12	0.1847348
13	0.1811579587
14	0.1789560894
15	0.1750602451
16	0.1726771384
17	0.1700535431
18	0.168671103
19	0.1673711507
20	0.1661483355
21	0.1647935256
22	0.1633128212
23	0.1626031628
24	0.161477217
25	0.1603813768
26	0.1597758363
27	0.1590234625
28	0.1584727132
29	0.1577342046
30	0.1572587177
31	0.1566776324
32	0.1560711742
33	0.1555866738
34	0.1552309892
35	0.1548153485
36	0.1544395601
37	0.1538950209
38	0.1535567004
39	0.15332158
40	0.1530557807
41	0.1528453813
42	0.1526254154
43	0.1523749698
44	0.1520753046
45	0.1518642585
46	0.1516093435
47	0.1513068057
48	0.1511236325
49	0.1509033019
50	0.1507101567
51	0.1505504722
52	0.1504155846
53	0.1502411225
54	0.1500350705
55	0.1499222645
56	0.1497732974
57	0.1495322951
58	0.1493564286
59	0.1492150855
60	0.1490722038
61	0.1489796276
62	0.1488616594
63	0.1487828521
64	0.148648481
65	0.1485348046
66	0.14840639
67	0.1482836067
68	0.1481991194
69	0.1480954136
70	0.1479726614
71	0.1478555635
72	0.1477701598
73	0.1476911736
74	0.1475769143
75	0.1474704363
76	0.1473881356
77	0.1473040564
78	0.1471867212
79	0.1470943483
80	0.1469933687
81	0.1468600508
82	0.1467679572
83	0.1466670155
84	0.1465480902
85	0.1464899317
86	0.1463945886
87	0.146298702
88	0.1462362218
89	0.1461273795
90	0.1460467286
91	0.1459683538
92	0.1458747921
93	0.1457802855
94	0.1456839732
95	0.1456069174
96	0.1455400558
97	0.1454804088
98	0.1454003774
99	0.1452842284
100	0.1452273075
101	0.1451382817
102	0.1450403426
103	0.1449741914
104	0.1449406915
105	0.144881218
106	0.1448354755
107	0.1447435961
108	0.1446389793
109	0.1445740752
110	0.1444987668
111	0.1444378292
112	0.1443650463
113	0.144299215
114	0.1442567233
115	0.1441795279
116	0.1441137697
117	0.1440314433
118	0.1439442882
119	0.1438356208
120	0.1437567363
121	0.1436648447
122	0.1436101294
123	0.1435490658
124	0.1435056427
125	0.1433997978
126	0.1433197176
127	0.1432605274
128	0.1432027078
129	0.1431188048
130	0.1431044705
131	0.1429947566
132	0.1429161534
133	0.1428431258
134	0.1427652668
135	0.1426869374
136	0.1426012267
137	0.1425537423
138	0.1425038096
139	0.1425001277
140	0.1424481691
141	0.1424218098
142	0.1423480462
143	0.1423016354
144	0.1422108147
145	0.1421383984
146	0.1420772962
147	0.1419881883
148	0.1419088754
149	0.1418502505
150	0.1417646916
151	0.1416999645
152	0.1416558623
153	0.1416161733
154	0.1415664196
155	0.1414933757
156	0.1414045037
157	0.1413604388
158	0.141275616
159	0.1412298776
160	0.1411747753
161	0.1411232267
162	0.1410447848
163	0.1409673691
164	0.1409076794
165	0.140824404
166	0.1408123865
167	0.1407311913
168	0.1406434025
169	0.1405718308
170	0.1404816337
171	0.1404107174
172	0.1403331533
173	0.140319568
174	0.1402837845
175	0.1402012927
176	0.1401182641
177	0.1400446543
178	0.1399902352
179	0.1399512742
180	0.1399029425
181	0.1398464127
182	0.1397621837
183	0.1397523114
184	0.1396791496
185	0.1396061417
186	0.1396053371
187	0.1395389385
188	0.1394930408
189	0.1394571536
190	0.1393967495
191	0.1393308165
192	0.1392562266
193	0.1391906223
194	0.139099418
195	0.1390459092
196	0.1389586266
197	0.1388915393
198	0.1388488578
199	0.1387718536
200	0.1387221757
201	0.1386438131
202	0.1385729559
203	0.1384811659
204	0.1384390171
205	0.1384006817
206	0.1383471519
207	0.1382990216
208	0.1382536234
209	0.1381845264
210	0.1381321733
211	0.138081253
212	0.1379941474
213	0.1379237592
214	0.137884344
215	0.1378221288
216	0.137753244
217	0.137707776
218	0.1376600618
219	0.1376143193
220	0.137562808
221	0.1375061786
222	0.1374421516
223	0.1373809348
224	0.1373773695
225	0.1373448809
226	0.1372697406
227	0.1372131722
228	0.1371326521
229	0.1370981897
230	0.1370492649
231	0.1370144019
232	0.1369525778
233	0.1369030606
234	0.1368469484
235	0.1368464285
236	0.1367819691
237	0.1367076163
238	0.136647196
239	0.1366050323
240	0.1365420274
241	0.1365390871
242	0.1365088481
243	0.1364640939
244	0.1363917177
245	0.1363449788
246	0.1362809491
247	0.1362291477
248	0.1361834947
249	0.1361523454
250	0.1361100631
251	0.1360525187
252	0.1359987489
253	0.135951213
254	0.1358961039
255	0.1358302834
256	0.1357507367
257	0.135699281
258	0.1356595662
259	0.1356121191
260	0.1355740778
261	0.1355101478
262	0.1354441816
263	0.1353961359
264	0.1353381299
265	0.1352711896
266	0.1352385471
267	0.1351904649
268	0.1351509372
269	0.1351059498
270	0.1350465611
271	0.1349891061
272	0.1349099009
273	0.1348696067
274	0.1348255811
275	0.1347812857
276	0.1347473974
277	0.1347082893
278	0.134652537
279	0.1346077672
280	0.1345526899
281	0.1344815019
282	0.1344346817
283	0.1343882431
284	0.1343517568
285	0.1342968375
286	0.1342532728
287	0.1341859388
288	0.1341512852
289	0.1340898956
290	0.1340217882
291	0.1339531738
292	0.133887314
293	0.1338433182
294	0.1337865661
295	0.1337345892
296	0.1336770691
297	0.1336174269
298	0.1335723107
299	0.1335367984
300	0.1334835959
301	0.133428739
302	0.1333683796
303	0.1332946207
304	0.1332437309
305	0.1332010738
306	0.1331610764
307	0.1331599384
308	0.1331006662
309	0.1330393254
310	0.1330143868
311	0.1329833683
312	0.1329398138
313	0.1329065518
314	0.1328517992
315	0.1328308753
316	0.1328043894
317	0.1327631008
318	0.1327609358
319	0.1327081916
320	0.1326891208
321	0.132646337
322	0.1325817861
323	0.1325798299
